uwAmendmentList,uwAmendmentList.AmendmentID,uwAmendmentList.AmendmentNo,uwAmendmentList.AmendmentType,uwAmendmentList.AmendmentKey,uwAmendmentList.BranchID,uwAmendmentList.CoverType,uwAmendmentList.IssueDate
Valency.Models.Console.UnderWriting.uwAmendmentList,7bc056cc-256a-4544-896c-12a5695a4c11,0,ADDITION,22/A/01/00029/09/23,52411634-c3e6-42b6-8769-e453a0f70850,Import,"04/09/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,b13a45b3-903b-42ae-91aa-3d920d41d23d,0,ADDITION,22/A/01/00030/09/23,52411634-c3e6-42b6-8769-e453a0f70850,Import,"06/09/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,9a0dbed5-8c71-4559-bd4e-d96f8320a434,0,ADDITION,22/A/01/00031/09/23,52411634-c3e6-42b6-8769-e453a0f70850,Import,"20/09/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,126d2ab6-cfca-4757-963d-966f58006359,0,GENERAL,22/A/01/00032/09/23,52411634-c3e6-42b6-8769-e453a0f70850,Import,"26/09/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,7b0d8349-556c-48b1-8632-40ef5c70a8f6,0,REFUND,22/A/01/00033/10/23,52411634-c3e6-42b6-8769-e453a0f70850,Import,"02/10/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,35fec8d9-c1f1-4eb1-88a1-1bbbbd78d401,0,ADDITION,22/A/01/00035/10/23,52411634-c3e6-42b6-8769-e453a0f70850,Import,"23/10/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,fc9ccfad-97fe-485b-b211-a0dd87dac029,0,REFUND,01/A/01/00038/10/23,0c1a4a9d-438b-4960-9d8e-711e6020d29f,Import,"10/10/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,f12da143-1164-460a-a5cb-c6fa3b9b2b2d,0,REFUND,01/A/01/00037/09/23,0c1a4a9d-438b-4960-9d8e-711e6020d29f,"Import - Group","27/09/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,6e90236b-7d37-499b-8b9e-db99d009e431,0,GENERAL,01/A/01/00036/09/23,0c1a4a9d-438b-4960-9d8e-711e6020d29f,"Import - Group","13/09/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,bb33739f-caab-456c-92a6-5744130779e1,0,ADDITION,01/A/01/00035/09/23,0c1a4a9d-438b-4960-9d8e-711e6020d29f,"Import - Group","12/09/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,cdb20c9e-66a7-4608-ab3b-7ae3dd56e8f4,0,GENERAL,01/A/01/00034/09/23,0c1a4a9d-438b-4960-9d8e-711e6020d29f,"Import - Group","06/09/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,8fe9436f-9df4-4292-af20-88ab4235a0d2,0,GENERAL,01/A/01/00033/08/23,0c1a4a9d-438b-4960-9d8e-711e6020d29f,"Import - Group","31/08/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,a9df2b05-5ed6-49ae-b661-4d05188e9101,0,ADDITION,01/A/01/00032/08/23,0c1a4a9d-438b-4960-9d8e-711e6020d29f,"Import - Group","29/08/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,88910d5e-3375-4a50-ab0a-907b8cc54dd9,0,GENERAL,01/A/01/00031/08/23,0c1a4a9d-438b-4960-9d8e-711e6020d29f,"Import - Group","16/08/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,ec1332b2-eecb-4b34-99fd-b9614036ede6,0,ADDITION,02/A/01/00050/08/23,01c58bea-0d3c-4c04-8b14-df867e9d4b6a,Import,"22/08/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,325152f8-3ecf-4cd1-a2b7-995064b19078,0,ADDITION,02/A/01/00051/08/23,01c58bea-0d3c-4c04-8b14-df867e9d4b6a,Import,"28/08/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,0386f803-0573-419a-b0e8-72a0dd31ae15,0,GENERAL,02/A/01/00053/08/23,01c58bea-0d3c-4c04-8b14-df867e9d4b6a,Import,"30/08/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,5d771d41-9164-4c19-9807-af519e145be7,0,GENERAL,02/A/01/00052/08/23,01c58bea-0d3c-4c04-8b14-df867e9d4b6a,Import,"30/08/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,f606cd30-2a1b-4ea4-8f3d-4b7c8907b28b,0,ADDITION,02/A/01/00055/08/23,01c58bea-0d3c-4c04-8b14-df867e9d4b6a,Import,"31/08/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,9a6211f7-fd3a-46a1-a25d-5ac4fc8357c4,0,ADDITION,02/A/01/00056/09/23,01c58bea-0d3c-4c04-8b14-df867e9d4b6a,Import,"05/09/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,e07cfb78-6af5-4ce1-9f47-2289c7c1ecdf,0,REVISED,02/A/01/00057/09/23,01c58bea-0d3c-4c04-8b14-df867e9d4b6a,Import,"06/09/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,a78bb7a1-1e55-48cb-a5a4-89b5150514c6,0,GENERAL,02/A/01/00059/09/23,01c58bea-0d3c-4c04-8b14-df867e9d4b6a,Import,"14/09/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,bfefd508-72e6-40f5-9651-4d7c4a9465d1,0,ADDITION,02/A/01/00058/09/23,01c58bea-0d3c-4c04-8b14-df867e9d4b6a,Import,"14/09/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,d094fcb2-f8ad-457d-8862-aef4f8b17a5d,0,ADDITION,02/A/01/00061/09/23,01c58bea-0d3c-4c04-8b14-df867e9d4b6a,Import,"18/09/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,37f40ca2-b8a9-4176-8809-f7a8239180f3,0,ADDITION,02/A/01/00060/09/23,01c58bea-0d3c-4c04-8b14-df867e9d4b6a,Import,"18/09/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,9332a2b8-39be-4bbb-8a75-3aa96ea24540,0,GENERAL,02/A/01/00062/09/23,01c58bea-0d3c-4c04-8b14-df867e9d4b6a,"In Land","21/09/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,93138df2-86c4-471f-8a53-a960ef703159,0,REVISED,02/A/01/00065/10/23,01c58bea-0d3c-4c04-8b14-df867e9d4b6a,"In Land","03/10/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,af0c1617-d18e-4500-a39d-a1c151971cc3,0,ADDITION,02/A/01/00064/10/23,01c58bea-0d3c-4c04-8b14-df867e9d4b6a,Import,"03/10/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,b885eb90-5745-485e-be1c-ee12440f78a6,0,ADDITION,02/A/01/00063/10/23,01c58bea-0d3c-4c04-8b14-df867e9d4b6a,Import,"03/10/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,53597bec-2182-409d-8c8c-09ccaa09b103,0,ADDITION,02/A/01/00066/10/23,01c58bea-0d3c-4c04-8b14-df867e9d4b6a,Import,"13/10/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,40ef25c7-f5b6-4ffb-a303-893d8475fc3a,0,REFUND,03/A/01/00079/09/23,93434ea8-156e-4ad8-a4b5-3c8b37c13853,Import,"23/09/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,1a1f3e59-8543-4db9-8c73-fdf09f64860a,0,GENERAL,16/A/01/00009/10/23,2429ead8-d406-4e4f-b573-b466200399e1,Import,"04/10/2023 12:00:00 am"
